mRNA,RF_Classifier_prob
A792,0.7495119214057923
A793,0.7878363013267518
A794,0.7996804356575012
A795,0.7989654541015625
A796,0.7419782042503357
A797,0.5741778889670968
A798,0.5722251454368233
A799,0.5701174767687917
A800,0.5348811143543571
A801,0.7691343903541565
A802,0.5946767121553421
A803,0.7917897939682007
A804,0.796832799911499
A805,0.7460492968559265
A806,0.797162663936615
A807,0.6545494854450226
A808,0.7501656651496887
A809,0.7228934407234192
A810,0.7430270433425903
A811,0.7962640523910522
A812,0.7998700022697449
A813,0.7999022245407105
A814,0.7996153950691223
A815,0.7927685737609863
A816,0.6006263755261898
A817,0.6824446737766265
A818,0.7262746810913085
A819,0.7994011521339417
A820,0.7997284412384034
A821,0.7998078107833863
A822,0.7992358326911926
A823,0.7238470673561096
A824,0.7990450978279113
A825,0.7982372164726257
A826,0.7997642040252686
A827,0.7966456890106202
A828,0.7257572412490845
A829,0.793510639667511
A830,0.7826369404792786
A831,0.7995487928390503
A832,0.7992268919944763
A833,0.7263055324554444
A834,0.7885545492172241
A835,0.7877332925796509
A836,0.7991767883300781
A837,0.797886598110199
A838,0.7222122073173523
